store_id,store_name,city,state,region,created_date,load_type
STORED20260506001,"Amble, Nayar and Dar",Dharmavaram,Karnataka,North,2026-05-06,DELTA
STORED20260506002,"Bhat, Parmar and Puri",Thrissur,Uttarakhand,North,2026-05-06,DELTA
STORED20260506003,Ramakrishnan Group,Mau,Telangana,East,2026-05-06,DELTA
STORED20260506004,Bhakta and Sons,Bharatpur,West Bengal,West,2026-05-06,DELTA
STORED20260506005,Bakshi PLC,Visakhapatnam,Haryana,North,2026-05-06,DELTA
STORED20260506006,Acharya and Sons,Bulandshahr,Meghalaya,West,2026-05-06,DELTA
STORED20260506007,Sahota-Salvi,Kolkata,Maharashtra,East,2026-05-06,DELTA
STORED20260506008,Chakraborty-Bhalla,Amritsar,Andhra Pradesh,North,2026-05-06,DELTA
STORED20260506009,Dugal-Saraf,Tirunelveli,Goa,West,2026-05-06,DELTA
STORED20260506010,Vyas-Nigam,Bhiwandi,Karnataka,North,2026-05-06,DELTA
